[10:50:05.98] [ComponentService] <INFO> 正在注册： vb-layout-sidemenu.vue文件 (ComponentService.plugin.js:249)
[10:50:05.99] [ComponentService] <INFO> 正在注册： vb-page-company.vue文件 (ComponentService.plugin.js:249)
[10:50:05.99] [ComponentService] <INFO> 正在注册： vb-page-mall.vue文件 (ComponentService.plugin.js:249)
[10:50:05.100] [ComponentService] <INFO> 正在注册： vb-page-tag.vue文件 (ComponentService.plugin.js:249)
[10:50:06.01] [ComponentService] <INFO> 正在注册： vb-scope-duration.vue文件 (ComponentService.plugin.js:249)
[10:50:06.01] [ComponentService] <INFO> 正在注册： vb-scope-physicalzone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.02] [ComponentService] <INFO> 正在注册： vb-select-camerazone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.03] [ComponentService] <INFO> 正在注册： vb-select-company.vue文件 (ComponentService.plugin.js:249)
[10:50:06.03] [ComponentService] <INFO> 正在注册： vb-select-device.vue文件 (ComponentService.plugin.js:249)
[10:50:06.03] [ComponentService] <INFO> 正在注册： vb-select-fencezone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.04] [ComponentService] <INFO> 正在注册： vb-select-floor.vue文件 (ComponentService.plugin.js:249)
[10:50:06.04] [ComponentService] <INFO> 正在注册： vb-select-mall.vue文件 (ComponentService.plugin.js:249)
[10:50:06.05] [ComponentService] <INFO> 正在注册： vb-select-physicalzone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.05] [ComponentService] <INFO> 正在注册： vb-select-reportmenu.vue文件 (ComponentService.plugin.js:249)
[10:50:06.06] [ComponentService] <INFO> 正在注册： vb-select-zonetype.vue文件 (ComponentService.plugin.js:249)
[10:50:06.06] [ComponentService] <INFO> 正在注册： vb-subset-devicezone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.07] [ComponentService] <INFO> 正在注册： vb-transfer-chartoption.vue文件 (ComponentService.plugin.js:249)
[10:50:06.07] [ComponentService] <INFO> 正在注册： vb-transfer-location.vue文件 (ComponentService.plugin.js:249)
[10:50:06.08] [ComponentService] <INFO> 正在注册： vb-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[10:50:06.08] [ComponentService] <INFO> 正在注册： vb-transfer-physicalzone.vue文件 (ComponentService.plugin.js:249)
[10:50:06.09] [ComponentService] <INFO> 正在注册： vb-tree-location.vue文件 (ComponentService.plugin.js:249)
[10:50:06.09] [ComponentService] <INFO> 正在注册： vd-bd-cloumn.vue文件 (ComponentService.plugin.js:249)
